City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
255,antsiranana,-12.2787,49.2917,22.73,67,58,5.94,MG,1718929767
256,wainwright,52.839,-110.8572,18.43,43,65,3.93,CA,1718929769
257,shimoda,34.6667,138.95,19.5,96,100,4.34,JP,1718929770
258,sompeta,18.9333,84.6,29.76,69,100,1.61,IN,1718929771
259,parauapebas,-6.0675,-49.9022,24.03,57,55,0.61,BR,1718929773
260,baruun-urt,46.6806,113.2792,16.56,81,100,5.66,MN,1718929775
261,strathalbyn,-35.2667,138.9,10.58,99,7,0.51,AU,1718929776
262,keflavik,64.0049,-22.5624,9.24,100,100,5.66,IS,1718929777
263,recani,31.2846,-4.2688,27.34,17,0,7.99,MA,1718929778
264,mogocha,53.7333,119.7667,19.85,46,5,3.23,RU,1718929780
265,dryden,49.7833,-92.7503,22.16,40,0,4.63,CA,1718929781
266,kattivakkam,13.2167,80.3167,27.19,85,100,5.57,IN,1718929782
267,belmonte,-15.8631,-38.8828,22.98,88,11,3.97,BR,1718929783
268,labytnangi,66.6572,66.4183,4.58,69,81,5.82,RU,1718929784
269,uturoa,-16.7333,-151.4333,25.75,60,29,5.44,PF,1718929786
270,umm kaddadah,13.6017,26.6876,32.68,30,99,4.32,SD,1718929787
271,fort portal,0.6617,30.2748,17.23,76,62,1.69,UG,1718929788
272,bam,29.106,58.357,27.69,19,1,1.4,IR,1718929789
273,linqiong,30.4159,103.4609,23.9,94,100,3.28,CN,1718929791
274,asika,19.6,84.65,28.76,71,100,0.96,IN,1718929792
275,usinsk,65.9939,57.5281,9.7,71,91,3.81,RU,1718929715
276,bulgan,48.8125,103.5347,6.53,75,100,6.95,MN,1718929794
277,huilong,31.8111,121.655,27.29,78,81,2.22,CN,1718929795
278,pavlovsk,50.4578,40.1081,12.44,92,95,7.28,RU,1718929797
279,garissa,-0.4536,39.6401,23.64,79,62,6.69,KE,1718929798
280,elverum,60.8819,11.5623,7.41,78,22,1.02,NO,1718929799
281,villa bruzual,9.3328,-69.1208,24.82,87,86,1.02,VE,1718929807
282,kalmunai,7.4167,81.8167,26.35,77,100,2.91,LK,1718929810
283,trairi,-3.2778,-39.2689,24.54,90,20,3.05,BR,1718929811
284,abbeville,50.1,1.8333,14.52,95,100,1.76,FR,1718929807
285,sao raimundo das mangabeiras,-7.0219,-45.4811,27.54,39,100,0.78,BR,1718929814
286,pariaman,-0.619,100.12,25.03,93,100,1.7,ID,1718929815
